Name,Participations,Awards,Bronze,Gold,No medal,Silver
George Wheeler,8,8,0,0,8,0
George Whelan,3,3,0,0,3,0
George Whitaker,6,6,1,0,4,1
George White,2,2,0,0,1,1
George Whitlock,2,2,0,0,2,0
George Wiley,4,4,1,0,2,1
George Wilkinson,2,2,0,2,0,0
George Wilson,3,3,0,1,1,1
George Woods,3,3,0,0,1,2
George Worth,7,7,1,0,6,0
George Wright,1,1,0,0,1,0
George Young,6,6,1,0,5,0
George Yvon,2,2,0,0,2,0
Georges (augoyard-),1,1,0,0,1,0
Georges (monnard-),12,12,1,0,10,1
Georges Achille-fould,1,1,0,0,1,0
Georges Antenen,2,2,0,0,2,0
Georges Anthony,2,2,1,0,1,0
Georges Appruzze,1,1,0,0,1,0
Georges Baert,1,1,0,0,1,0
Georges Ballery,2,2,0,0,2,0
Georges Barathon,1,1,0,0,1,0
Georges Baraton,2,2,0,0,2,0
Georges Bauer,1,1,0,0,1,0
Georges Bayle,1,1,0,0,1,0
Georges Bayrou,1,1,0,0,1,0
Georges Berger,1,1,1,0,0,0
Georges Bernaert,1,1,0,0,1,0
Georges Boireau,1,1,0,0,1,0
Georges Bordus,1,1,0,0,1,0
Georges Bossche,2,2,0,0,2,0
Georges Bourguignon,7,7,1,0,6,0
Georges Breitman,2,2,0,0,2,0
Georges Breuille,1,1,0,0,1,0
Georges Brul,2,2,0,0,2,0
Georges Buchard,7,7,1,2,1,3
Georges Calmon,2,2,0,0,2,0
Georges Carbasse,1,1,0,0,1,0
Georges Carcagne,1,1,0,0,1,0
Georges Carrier,1,1,0,0,1,0
Georges Chappe,1,1,0,0,1,0
Georges Charmoille,3,3,2,0,1,0
Georges Chaudoir,1,1,0,0,1,0
Georges Clappier,2,2,0,0,2,0
Georges Clment,1,1,0,0,1,0
Georges Cochon,1,1,0,0,1,0
Georges Coindre,2,2,0,0,2,0
Georges Conan,1,1,0,0,1,0
Georges Conraux,2,2,0,0,2,0
Georges Corbel,2,2,0,0,2,0
Georges Couvreur,1,1,0,0,1,0
Georges Dambois,1,1,0,0,1,0
Georges Damitio,3,3,0,0,3,0
Georges Dantu,1,1,0,0,1,0
Georges Daunis,1,1,0,0,1,0
Georges Daussy,1,1,0,0,1,0
Georges Degnan,4,4,0,0,4,0
Georges Delporte,1,1,0,0,1,0
Georges Demarle,1,1,0,0,1,0
Georges Dmanet,2,2,2,0,0,0
Georges Doussot,1,1,0,0,1,0
Georges Dransart,5,5,2,0,2,1
Georges Dtreille,2,2,0,1,1,0
Georges Dubois,2,2,0,0,1,1
Georges Dupont,2,2,0,0,2,0
Georges Engrand,1,1,0,0,1,0
Georges Enguerrand,2,2,0,0,2,0
Georges Fertagh,5,5,0,2,2,1
Georges Firmenich,1,1,0,0,1,0
Georges Firmin,2,2,0,0,2,0
Georges Fleurix,1,1,0,0,0,1
Georges Floquet,8,8,0,0,8,0
Georges Frdric,1,1,0,0,1,0
Georges Freiburghaus,1,1,0,0,1,0
Georges Galinat,1,1,0,0,1,0
Georges Gandil,2,2,2,0,0,0
Georges Gardebois,1,1,0,0,1,0
Georges Garnier,1,1,0,0,0,1
Georges Garreau,1,1,0,0,1,0
Georges Givel,1,1,0,0,1,0
Georges Gourdy,1,1,0,0,1,0
Georges Grain,2,2,0,0,2,0
Georges Grosjean,1,1,0,0,1,0
Georges Guelzec,8,8,0,0,8,0
Georges Guillez,1,1,0,0,1,0
Georges Guillon,1,1,0,0,1,0
Georges Haelen,1,1,0,0,1,0
Georges Hauser,1,1,0,0,1,0
Georges Hebdin,1,1,0,1,0,0
Georges Henrion,1,1,0,0,1,0
Georges Henry,2,2,0,0,2,0
Georges Hernalsteens,1,1,0,0,1,0
Georges Herpin,1,1,0,0,1,0
Georges Heywaert,2,2,0,0,2,0
Georges Hol,1,1,1,0,0,0
Georges Honein,1,1,0,0,1,0
Georges Johin,2,2,0,1,0,1
Georges Jourdan,1,1,0,0,1,0
Georges Jr.,1,1,0,0,1,0
Georges Juery,1,1,0,0,1,0
Georges Kaiser,1,1,0,0,1,0
Georges Koffi,1,1,0,0,1,0
Georges Krotoff,2,2,0,0,2,0
Georges Kunz,1,1,0,0,1,0
Georges Laederach,1,1,0,0,1,0
Georges Lagarenne,1,1,0,0,1,0
Georges Lagouge,1,1,1,0,0,0
Georges Lambert,12,12,1,0,10,1
Georges Langevin,1,1,0,0,1,0
Georges Leclerc,1,1,0,0,1,0
Georges Lecointe,1,1,0,0,0,1
Georges Leenheere,2,2,0,0,2,0
Georges Lefvre,1,1,0,0,1,0
Georges Leroux,7,7,0,0,7,0
Georges Leroy,1,1,0,0,1,0
Georges Leuillieux,5,5,1,0,4,0
Georges Lonet,1,1,0,0,1,0
Georges Lumpp,2,2,0,0,1,1
Georges Lutz,2,2,0,0,2,0
Georges Lvcque,1,1,0,0,1,0
Georges Malfait,7,7,0,0,7,0
Georges Malissard,1,1,0,0,1,0
Georges Mandjeck,1,1,0,0,1,0
Georges Margot,2,2,0,0,2,0
Georges Mathys,1,1,0,0,1,0
Georges Maton,1,1,1,0,0,0
Georges Meersch,2,2,0,0,2,0
Georges Metayer,1,1,0,0,1,0
Georges Miller,1,1,0,0,1,0
Georges Mollard,1,1,1,0,0,0
Georges Monier,1,1,0,1,0,0
Georges Morel,1,1,0,0,0,1
Georges Mys,1,1,0,0,0,1
Georges Nagelmackers,2,2,0,1,1,0
Georges Neurouth,1,1,0,0,1,0
Georges Nzire,1,1,0,0,1,0
Georges Paillard,1,1,0,0,1,0
Georges Pauwels,1,1,0,0,1,0
Georges Pelgrims,1,1,1,0,0,0
Georges Perrin,5,5,0,0,5,0
Georges Pilley,2,2,0,0,2,0
Georges Pinault,1,1,0,0,1,0
Georges Piot,2,2,0,0,1,1
Georges Pisani,1,1,0,0,1,0
Georges Pixius,1,1,0,0,1,0
Georges Poele,3,3,1,0,1,1
Georges Poff,2,2,0,0,2,0
Georges Pottier,3,3,0,0,3,0
Georges Pouilley,2,2,0,0,2,0
Georges Pouliot,5,5,0,0,5,0
Georges Proft,1,1,0,0,1,0
Georges Prud'homme,1,1,0,0,0,1
Georges Rasetti,1,1,0,0,1,0
Georges Ratelot,1,1,0,0,1,0
Georges Redeuil,1,1,0,0,1,0
Georges Rigal,3,3,0,1,2,0
Georges Robini,1,1,0,0,1,0
Georges Roes,10,10,0,0,8,2
Georges Romas,1,1,0,0,0,1
Georges Rooms,1,1,1,0,0,0
Georges Rossignon,1,1,0,0,1,0
Georges Rothschild,1,1,0,0,1,0
Georges Sainte-rose,1,1,0,0,1,0
Georges Schiltz,2,2,0,0,2,0
Georges Schmit,1,1,0,0,1,0
Georges Schroeder,2,2,0,0,2,0
Georges Semelaigne,1,1,0,0,1,0
Georges Senecot,1,1,0,0,1,0
Georges Serlez,1,1,0,0,1,0
Georges Simonon,1,1,0,0,1,0
Georges Smichon,2,2,0,0,2,0
Georges Spae,1,1,0,0,1,0
Georges Sr.,2,2,1,0,1,0
Georges Stockly,2,2,0,0,2,0
Georges Tainturier,2,2,0,2,0,0
Georges Tandel,1,1,0,0,1,0
Georges Tanney,4,4,0,0,4,0
Georges Tapie,1,1,1,0,0,0
Georges Thurnherr,3,3,1,0,2,0
Georges Ton,2,2,0,0,2,0
Georges Tourry,1,1,0,0,1,0
Georges Trombert,6,6,1,0,3,2
Georges Turlier,2,2,0,1,1,0
Georges Valentin,2,2,0,0,2,0
Georges Vanderhulst,1,1,0,0,1,0
Georges Vandevoorde,1,1,0,0,1,0
Georges Verbanck,4,4,0,0,4,0
Georges Verger,1,1,0,0,1,0
Georges Vestris,1,1,0,0,1,0
Georges Villa,1,1,0,0,1,0
Georges Vivex,1,1,0,0,0,1
Georges Wahler,2,2,0,0,2,0
Georges Wambst,2,2,0,1,1,0
Georges Warenhorst,3,3,0,0,3,0
Georges Welbes,1,1,0,0,1,0
Georges Wengler,8,8,0,0,8,0
Georges Werll,1,1,0,0,1,0
Georges Willems,1,1,0,0,1,0
Georges Zogheb,1,1,0,0,1,0
Georges-Claude Ngangue,1,1,0,0,1,0
Georges-Henri Albert,1,1,0,0,1,0
Georges-Joseph Rolot,4,4,0,0,4,0
Georges-Marie Baltus,1,1,0,0,1,0
Georges-Urbain Jr.,1,1,1,0,0,0
Georges-mile Fauvelle,16,16,0,0,16,0
Georgeta (-manolescu),1,1,0,0,1,0
Georgeta Cojocaru,1,1,0,0,1,0
Georgeta Damian-andrunache,7,7,1,5,1,0
Georgeta Gabor,6,6,0,0,5,1
Georgeta Lecuanu,1,1,0,0,1,0
Georgeta Militaru-maca,2,2,0,0,2,0
Georgette Gagneux,2,2,0,0,2,0
Georgette Meulebroeck,1,1,0,0,1,0
Georgette N'koma,4,4,0,0,4,0
Georgette Reed,1,1,0,0,1,0
Georgi Abadzhiev,2,2,0,0,2,0
Georgi Adamov,16,16,0,0,16,0
Georgi Atanasov,1,1,0,0,1,0
Georgi Boyadzhiev,1,1,0,0,1,0
Georgi Bozhilov,1,1,0,0,1,0
Georgi Bratoev,1,1,0,0,1,0
Georgi Chomakov,3,3,0,0,3,0
Georgi Choykov,1,1,0,0,1,0
Georgi Dakov,1,1,0,0,1,0
Georgi Dimitrov,8,8,0,0,8,0
Georgi Donev,1,1,0,0,1,0
Georgi Eftimov,1,1,0,0,1,0
Georgi Fortunov,1,1,0,0,1,0
Georgi Gadzhev,2,2,0,0,1,1
Georgi Georgiev,6,6,1,0,5,0
Georgi Gospodinov,1,1,0,0,1,0
Georgi Gugava,1,1,0,0,1,0
Georgi Ivanov,5,5,0,0,4,1
Georgi Kanev,2,2,0,0,2,0
Georgi Karadushev,1,1,0,0,1,0
Georgi Karakashev,1,1,0,0,1,0
Georgi Karamanliev,1,1,0,0,1,0
Georgi Keranov,1,1,0,0,1,0
Georgi Khristakiev,1,1,0,0,0,1
Georgi Khristov,9,9,0,0,9,0
Georgi Konstantinov,1,1,0,0,1,0
Georgi Kostadinov,2,2,0,1,1,0
Georgi Lozanov,8,8,0,0,8,0
Georgi Malezanov,1,1,0,0,1,0
Georgi Markov,2,2,0,1,0,1
Georgi Mateev,1,1,0,0,1,0
Georgi Mikhalev,4,4,0,0,4,0
Georgi Moskov,1,1,0,0,1,0
Georgi Naydenov,3,3,1,0,2,0
Georgi Nikolov,2,2,1,0,1,0
Georgi Palazov,6,6,0,0,6,0
Georgi Panov,3,3,0,0,3,0
Georgi Petkov,1,1,0,0,1,0
Georgi Petrov,2,2,0,0,2,0
Georgi Polyakov,3,3,0,0,3,0
Georgi Raykov,1,1,0,1,0,0
Georgi Stankov,2,2,1,0,1,0
Georgi Stoimenov,1,1,0,0,1,0
Georgi Stoyanov,2,2,0,0,2,0
Georgi Stoykovski,2,2,0,0,2,0
Georgi Todorov,11,11,0,0,10,1
Georgi Tsonov,1,1,0,0,1,0
Georgi Vasilev,1,1,0,0,0,1
Georgi Velinov,1,1,0,0,1,0
Georgi Zaitski,1,1,1,0,0,0
Georgi Zaychev,1,1,0,0,1,0
Georgia (-gilson),4,4,1,1,0,2
Georgia Abatzidou,1,1,0,0,1,0
Georgia Baker,7,7,0,0,7,0
Georgia Bell,1,1,1,0,0,0
Georgia Bohl,2,2,0,0,2,0
Georgia Bonora,8,8,0,0,8,0
Georgia Coates,3,3,0,0,3,0
Georgia Courage-gardiner,1,1,0,0,1,0
Georgia Damasioti,2,2,0,0,2,0
Georgia Davies,3,3,0,0,3,0
Georgia Dorotheou,1,1,0,0,1,0
Georgia Ellenwood,1,1,0,0,1,0
Georgia Ellinaki,2,2,0,0,1,1
Georgia Furquim,1,1,0,0,1,0
Georgia Godwin,5,5,0,0,5,0
Georgia Gould,2,2,1,0,1,0
Georgia Griffith,2,2,0,0,2,0
Georgia Hall,1,1,0,0,1,0
Georgia Kokloni,1,1,0,0,1,0
Georgia Lewin-lafrance,1,1,0,0,1,0
Georgia Manoli,1,1,0,0,1,0
Georgia Moir,1,1,0,0,1,0
Georgia Nanscawen,1,1,0,0,1,0
Georgia Nugent-o'leary,1,1,0,0,1,0
Georgia Simmerling,2,2,1,0,1,0
Georgia Stanway,1,1,0,0,1,0
Georgia Taylor-brown,3,3,0,1,1,1
Georgia Tsilingkiri,1,1,0,0,1,0
Georgia Tzanakaki,1,1,0,0,1,0
Georgia Vasilopoulou,1,1,0,0,1,0
Georgia Winkcup,1,1,0,0,1,0
Georgia Zouganeli,1,1,0,0,1,0
Georgia-Anastasia Tembou,6,6,0,0,6,0
Georgia-leigh Vele,1,1,0,0,1,0
Georgia-mae Fenton,7,7,0,0,7,0
Georgia-rose Brown,6,6,0,0,6,0
Georgian Popescu,1,1,0,0,1,0
Georgiana Dedu,1,1,0,0,1,0
Georgiana Freeman,1,1,0,0,1,0
Georgiana Sesay,1,1,0,0,1,0
Georgic Donici,2,2,0,0,2,0
Georgie Cupidon,1,1,0,0,1,0
Georgie Parker,1,1,0,0,1,0
Georgie Rowe,1,1,0,0,1,0
Georgieva Nikolova,1,1,1,0,0,0
Georgieva Selishka,1,1,0,0,1,0
Georgii Kushitashvili,1,1,0,0,1,0
Georgii Okorokov,1,1,0,0,1,0
Georgii Zantaraia,1,1,0,0,1,0
Georgij Tibilov,1,1,0,0,1,0
Georgijs Kuikovs,9,9,2,0,5,2
Georgina (-day),1,1,0,0,1,0
Georgina (-earl),2,2,0,2,0,0
Georgina (-seccombe),1,1,1,0,0,0
Georgina (-walton),2,2,0,0,2,0
Georgina Brayshaw,1,1,0,1,0,0
Georgina Cassar,1,1,0,0,1,0
Georgina Clarke,1,1,0,0,1,0
Georgina Douglas,2,2,0,0,2,0
Georgina Geikie,2,2,0,0,2,0
Georgina Isern,2,2,0,0,2,0
Georgina Klug,1,1,0,0,1,0
Georgina Lee,5,5,0,0,5,0
Georgina Martin,7,7,1,0,6,0
Georgina Morgan,1,1,0,0,1,0
Georgina Oliva,1,1,0,0,1,0
Georgina Osorio,3,3,0,0,3,0
Georgina Parkes,4,4,0,0,4,0
Georgina Pota,2,2,0,0,2,0
Georgina Pta,3,3,0,0,3,0
Georgina Roty,2,2,0,0,2,0
Georgina Rowe,1,1,0,0,1,0
Georgina Singleton,1,1,0,0,1,0
Georgina Tth,1,1,0,0,1,0
Georgina Twigg,2,2,1,1,0,0
Georgios Abaris,1,1,0,0,1,0
Georgios Achilleos,1,1,0,0,1,0
Georgios Afroudakis,5,5,0,0,5,0
Georgios Agrimanakis,1,1,0,0,1,0
Georgios Aliprantis,2,2,0,1,1,0
Georgios Ambet,3,3,0,0,3,0
Georgios Anastasiadis,2,2,0,0,2,0
Georgios Andreadis,2,2,0,0,2,0
Georgios Andreou,1,1,0,0,1,0
Georgios Anitsas,1,1,0,0,1,0
Georgios Anninos,1,1,0,0,1,0
Georgios Apostolopoulos,1,1,0,0,1,0
Georgios Argyropoulos,1,1,0,0,1,0
Georgios Aspiotis,1,1,0,0,1,0
Georgios Athanasiadis,3,3,0,0,3,0
Georgios Banikas,3,3,0,0,3,0
Georgios Barous,1,1,0,0,1,0
Georgios Birmbilis,1,1,0,0,1,0
Georgios Bouglas,1,1,0,0,1,0
Georgios Boumboulis,1,1,0,0,1,0
Georgios Darivas,1,1,0,0,1,0
Georgios Dervisis,2,2,0,0,1,1
Georgios Diamantidis,1,1,0,0,1,0
Georgios Diamantis,2,2,0,0,2,0
Georgios Drosos,1,1,0,0,1,0
Georgios Fotakis,1,1,0,0,1,0
Georgios Fotou,1,1,0,0,1,0
Georgios Fouskas,1,1,0,0,1,0
Georgios Gaitanos,1,1,0,0,1,0
Georgios Gazis,2,2,0,0,2,0
Georgios Gennimatas,1,1,0,0,1,0
Georgios Georgantopoulos,1,1,0,0,1,0
Georgios Georgiadis,1,1,0,0,1,0
Georgios Georgitseas,1,1,0,0,1,0
Georgios Gerontakis,1,1,0,0,1,0
Georgios Giannelis,1,1,0,0,1,0
Georgios Giziotis,2,2,0,0,2,0
Georgios Grigoriou,1,1,0,0,1,0
Georgios Iatridis,1,1,0,0,1,0
Georgios Ioannidis,1,1,0,0,1,0
Georgios Isigonis,1,1,0,0,1,0
Georgios Kalafatis,1,1,0,0,1,0
Georgios Kalambokidis,1,1,0,0,1,0
Georgios Kalogiannidis,2,2,0,0,2,0
Georgios Kalovelonis,2,2,0,0,2,0
Georgios Karageorgos,2,2,0,0,2,0
Georgios Karpouzis,3,3,0,0,3,0
Georgios Kesar,1,1,0,0,1,0
Georgios Khalkiopoulos,1,1,0,0,1,0
Georgios Khasapis,1,1,0,0,1,0
Georgios Khatziandreou,1,1,0,0,1,0
Georgios Khatziioannidis,3,3,1,0,2,0
Georgios Khimonetos,2,2,0,0,2,0
Georgios Khoudoumadis,1,1,0,0,1,0
Georgios Kladis,1,1,0,0,1,0
Georgios Koletis,2,2,0,0,1,1
Georgios Kontogiannis,1,1,0,0,1,0
Georgios Kontogouris,1,1,0,0,1,0
Georgios Kottaras,1,1,0,0,1,0
Georgios Kougioumtsidis,1,1,0,0,1,0
Georgios Kourkoumbas,1,1,0,0,1,0
Georgios Koutsioumbas,1,1,0,0,1,0
Georgios Lefakis,1,1,0,0,1,0
Georgios Lemonis,1,1,0,0,1,0
Georgios Liveris,2,2,0,0,2,0
Georgios Louridas,1,1,0,0,1,0
Georgios Markoulas,1,1,0,0,1,0
Georgios Marmaridis,2,2,0,0,2,0
Georgios Maroulis,1,1,1,0,0,0
Georgios Marsellos,2,2,0,0,2,0
Georgios Mavrotas,5,5,0,0,5,0
Georgios Merkouris,1,1,0,0,1,0
Georgios Moraitinis,6,6,0,0,5,1
Georgios Moskhakis,1,1,0,0,1,0
Georgios Moustopoulos,1,1,0,0,1,0
Georgios Nikolakis,1,1,0,0,1,0
Georgios Nikoloutsos,1,1,0,0,0,1
Georgios Ntoskas,1,1,0,0,1,0
Georgios Oikonomidis,1,1,0,0,1,0
Georgios Orfanidis,19,19,0,2,16,1
Georgios Palikaris,1,1,0,0,1,0
Georgios Panagiotakis,1,1,0,0,1,0
Georgios Panagiotopoulos,2,2,0,0,2,0
Georgios Pangalos,3,3,0,0,3,0
Georgios Pantos,1,1,0,0,1,0
Georgios Papagiannis,1,1,0,0,1,0
Georgios Papakhristou,3,3,0,0,2,1
Georgios Papasideris,3,3,1,0,2,0
Georgios Papavasileiou,3,3,0,0,3,0
Georgios Papazis,1,1,0,0,1,0
Georgios Paraskevopoulos,2,2,0,0,2,0
Georgios Parris,1,1,0,0,1,0
Georgios Patis,1,1,0,0,1,0
Georgios Perrakis,1,1,0,0,1,0
Georgios Petmezas,2,2,0,0,2,0
Georgios Petropoulos,6,6,0,0,6,0
Georgios Petsanis,1,1,0,0,1,0
Georgios Pilavakhis,1,1,0,0,1,0
Georgios Pilidis,1,1,0,0,1,0
Georgios Poikilidis,4,4,0,0,4,0
Georgios Popotas,2,2,0,0,2,0
Georgios Portelanos,2,2,0,0,2,0
Georgios Pozidis,2,2,0,0,2,0
Georgios Prekas,1,1,0,0,1,0
Georgios Printezis,1,1,0,0,1,0
Georgios Psakhos,1,1,0,0,0,1
Georgios Psykhos,2,2,0,0,2,0
Georgios Reppas,3,3,0,0,3,0
Georgios Roubanis,3,3,1,0,2,0
Georgios Salavantakis,2,2,0,0,2,0
Georgios Saridakis,2,2,1,0,1,0
Georgios Sigalas,1,1,0,0,1,0
Georgios Simiriotis,3,3,0,0,2,1
Georgios Skotadis,2,2,1,0,1,0
Georgios Skoutaridis,3,3,0,0,3,0
Georgios Skouzes,1,1,0,0,1,0
Georgios Sotiriadis,1,1,1,0,0,0
Georgios Soulis,1,1,0,0,1,0
Georgios Spyridis,1,1,0,0,1,0
Georgios Stathis,3,3,0,0,3,0
Georgios Stefanopoulos,2,2,0,0,2,0
Georgios Stefanou,1,1,0,0,1,0
Georgios Theodorakopoulos,2,2,0,0,2,0
Georgios Theodoridis,3,3,0,0,3,0
Georgios Tsakanikas,4,4,0,0,4,0
Georgios Tsakonas,1,1,0,0,1,0
Georgios Tsitas,1,1,0,0,0,1
Georgios Tzelilis,1,1,0,0,1,0
Georgios Vafeiadis,1,1,0,0,1,0
Georgios Valakakis,2,2,0,0,2,0
Georgios Vamkaitis,1,1,0,0,1,0
Georgios Vamvakas,1,1,0,0,1,0
Georgios Vaporis,1,1,1,0,0,0
Georgios Vazagkasvili,3,3,1,0,2,0
Georgios Venieris,1,1,0,0,1,0
Georgios Versis,2,2,0,0,2,0
Georgios Vikhos,3,3,0,0,3,0
Georgios Vogiatzakos,1,1,0,0,1,0
Georgios Zaimis,3,3,0,1,2,0
Georgios Zakharopoulos,4,4,0,0,4,0
Georgios Zaravinas,1,1,0,0,1,0
Georgios Zervinis,4,4,0,0,4,0
Georgios Zinon,2,2,0,0,2,0
Georgios Zisimos,4,4,0,0,4,0
Georgius Damen,4,4,0,0,4,0
Georgiy Balakshin,2,2,1,0,1,0
Georgiy Boroda-dudochkin,1,1,0,0,1,0
Georgiy Gurtsiev,1,1,0,0,1,0
Georgiy Sheiko,1,1,0,0,1,0
Georgiy Yermakov,1,1,0,0,1,0
Georgy Andreyev,3,3,0,0,3,0
Georgy Baymakov,2,2,0,0,2,0
Georgy Chevychalov,1,1,0,0,1,0
Georgy Davydov,4,4,0,0,4,0
Georgy Fyodorov,1,1,0,0,1,0
Georgy Grebenkov,8,8,0,0,8,0
Georgy Gushchenko,2,2,0,0,2,0
Georgy Ivakin,1,1,0,0,1,0
Georgy Ketoyev,2,2,1,0,1,0
Georgy Mondzolevsky,2,2,0,2,0,0
Georgy Nekhayev,4,4,0,0,4,0
Georgy Nikitin,1,1,0,0,1,0
Georgy Panteleymonov,3,3,0,0,2,1
Georgy Sayadov,1,1,0,0,1,0
Georgy Shayduko,4,4,0,0,3,1
Georgy Sheyko,2,2,0,0,2,0
Georgy Sviridenko,1,1,0,1,0,0
Georgy Tsurtsumia,1,1,0,0,0,1
Georgy Tsybulnikov,1,1,1,0,0,0
Georgy Vishnyakov,2,2,0,0,2,0
Georgy Zakyrich,2,2,0,0,2,0
Georkis Rivaux,1,1,0,0,1,0
Geovana Meyer,2,2,0,0,2,0
Geovani Silva,1,1,0,0,0,1
Geovanna (morejon-),3,3,0,0,3,0
Geovanna Santos,1,1,0,0,1,0
Geovanni Gmez,1,1,0,0,1,0
Geovanni Mercado,2,2,0,0,2,0
Geovany Oliva,1,1,0,0,1,0
Geraint Thomas,6,6,0,2,4,0
Gerald Anderson,1,1,0,0,1,0
Gerald Ashworth,1,1,0,1,0,0
Gerald Backhouse,2,2,0,0,2,0
Gerald Bird,1,1,0,0,1,0
Gerald Brauner,1,1,0,0,1,0
Gerald Carr,2,2,0,0,2,0
Gerald Ciolek,1,1,0,0,1,0
Gerald Clawson,1,1,0,0,1,0
Gerald Clervil,1,1,0,0,1,0
Gerald Collins,1,1,0,0,1,0
Gerald Conine,1,1,0,0,1,0
Gerald Coughlan,2,2,0,0,2,0
Gerald Covey,2,2,0,0,2,0
Gerald Dreyer,1,1,0,1,0,0
Gerald Drummond,2,2,0,0,2,0
Gerald Evard,3,3,0,0,3,0
Gerald Foster,1,1,0,0,1,0
Gerald Freeman,1,1,0,0,1,0
Gerald Geay,2,2,0,0,2,0
Gerald Glackan,1,1,0,1,0,0
Gerald Goddard,1,1,0,0,1,0
Gerald Halpin,1,1,0,0,1,0
Gerald Hay,1,1,0,0,1,0
Gerald Hernandez,1,1,0,0,1,0
Gerald Holan,1,1,0,0,1,0
Gerald Kazanowski,2,2,0,0,2,0
Gerald Leeman,1,1,0,0,0,1
Gerald Lindgren,1,1,0,0,1,0
Gerald Logan,1,1,0,1,0,0
Gerald Main,2,2,0,1,1,0
Gerald Marchand,2,2,0,0,2,0
Gerald Martina,2,2,0,0,2,0
Gerald Mason,1,1,0,0,0,1
Gerald Mcintyre,1,1,0,0,1,0
Gerald Mcmahon,1,1,0,0,1,0
Gerald Mcnamee,3,3,0,0,3,0
Gerald Merlin,11,11,1,1,9,0
Gerald Mortag,1,1,0,0,0,1
Gerald Mrken,3,3,0,0,3,0
Gerald O'reilly,1,1,0,0,1,0
Gerald Owens,3,3,0,0,3,0
Gerald Perrin,1,1,0,0,1,0
Gerald Phiri,2,2,0,0,2,0
Gerald Pryse,6,6,0,0,6,0
Gerald Schreck,1,1,0,1,0,0
Gerald Sibon,1,1,0,0,1,0
Gerald Sichel,5,5,0,0,5,0
Gerald Skinner,1,1,1,0,0,0
Gerald Tinker,1,1,0,1,0,0
Gerald Toft,1,1,0,0,1,0
Gerald Wei,1,1,0,0,1,0
Gerald Wilson,1,1,1,0,0,0
Gerald Wisdom,2,2,0,0,2,0
Gerald Worsell,2,2,0,0,2,0
Geraldi Issaick,1,1,0,0,1,0
Geraldina Asher-smith,2,2,1,0,1,0
Geraldine (-ashdown),1,1,0,0,1,0
Geraldine Flores,1,1,0,0,1,0
Geraldine Frey,2,2,0,0,2,0
Geraldine Mahieu,1,1,0,0,1,0
Geraldine Pillay,1,1,0,0,1,0
Geraldine Simpson,2,2,0,0,2,0
Geraldine Vanegas,1,1,0,0,1,0
Geraldine Wright,1,1,0,0,1,0
Geraldo Andrade,1,1,0,0,1,0
Geraldo Oliveira,3,3,0,0,3,0
Geraldo Pegado,2,2,0,0,2,0
Geralee Morales,1,1,0,0,1,0
Gerard Adams,2,2,0,0,2,0
Gerard Anderson,1,1,0,0,1,0
Gerard Barrett,1,1,0,0,1,0
Gerard Bergh,11,11,0,0,11,0
Gerard Berne,1,1,0,0,1,0
Gerard Carlier,1,1,0,0,1,0
Gerard Cielik,1,1,0,0,1,0
Gerard Clapes,1,1,0,0,1,0
Gerard Collins,1,1,0,0,1,0
Gerard Cuijpers,1,1,0,0,1,0
Gerard Douis,1,1,0,0,1,0
Gerard Drakestein,10,10,1,0,7,2
Gerard Duedra,1,1,0,0,1,0
Gerard Enst,1,1,0,0,1,0
Gerard Garabwan,1,1,0,0,1,0
Gerard Gezelle,1,1,0,0,1,0
Gerard Gray,1,1,0,0,1,0
Gerard Hallie,1,1,0,0,1,0
Gerard Hamill,1,1,0,0,1,0
Gerard Hawkins,2,2,0,0,2,0
Gerard Heux,4,4,1,0,3,0
Gerard Innis,11,11,0,6,1,4
Gerard Koel,1,1,1,0,0,0
Gerard Kruijff,6,6,0,2,3,1
Gerard Leembruggen,2,2,0,0,2,0
Gerard Lettoli,1,1,0,0,1,0
Gerard Linden,2,2,0,0,2,0
Gerard Mach,2,2,0,0,2,0
Gerard Mcgrath,1,1,0,0,1,0
Gerard Mullins,3,3,0,0,3,0
Gerard O'mahony,2,2,0,0,2,0
Gerard Pignolet,1,1,0,0,1,0
Gerard Reeman,1,1,1,0,0,0
Gerard Ronan,1,1,0,0,1,0
Gerard Rowlinson,1,1,0,0,1,0
Gerard Scheurleer,2,2,0,0,2,0
Gerard Sinnott,2,2,0,0,2,0
Gerard Takayawa,1,1,0,0,1,0
Gerard Tom-tam,1,1,0,0,1,0
Gerard Tubier,1,1,0,0,1,0
Gerard Veldman,2,2,0,1,1,0
Gerard Villa,1,1,0,0,1,0
Gerard Vliet,1,1,0,0,1,0
Gerard Wiedel,7,7,0,0,7,0
Gerard Wodarz,1,1,0,0,1,0
Gerard Yantz,1,1,0,0,1,0
Gerarda (-nolting),2,2,0,0,2,0
Gerarda Pol),2,2,0,0,2,0
Gerardina Reijnen,1,1,0,0,1,0
Gerardo Barraza,2,2,0,0,2,0
Gerardo Conforti,4,4,0,0,4,0
Gerardo Constantini,1,1,0,0,1,0
Gerardo Correa,2,2,0,0,2,0
Gerardo Counahan,1,1,0,0,1,0
Gerardo Delgado,1,1,0,0,1,0
Gerardo Dottori,4,4,0,0,4,0
Gerardo Espejo,1,1,0,0,1,0
Gerardo Francisco,1,1,0,0,1,0
Gerardo Gonzlez,1,1,0,0,1,0
Gerardo Grosso,1,1,0,0,1,0
